cmtid,itemid,rating_star,comment,modelid,model_name,filter,anonymous,origin_region,region,ctime,submit_time
15246276727,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174957,1716174957
15249090052,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716192188,1716192188
15246309259,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175174,1716175174
15249388227,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716193978,1716193978
15246203496,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174468,1716174468
15246389373,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716175708,1716175708
15246356871,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175491,1716175491
15249346190,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716193727,1716193727
15246204288,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174473,1716174473
15249432480,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194236,1716194236
15249072478,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716192085,1716192085
15246065063,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716173542,1716173542
15249163704,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716192612,1716192612
15249496796,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194619,1716194619
15246109285,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716173843,1716173843
15246066061,22489557572,5,,184956190790,"Quai trắng đế đen,Size 37",0,False,vn,VN,1716173549,1716173549
15249248141,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716193119,1716193119
15246163204,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174204,1716174204
15246188597,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174369,1716174369
15246219695,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174575,1716174575
15246298886,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175105,1716175105
15246250118,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174778,1716174778
15246172674,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174266,1716174266
15246126263,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716173961,1716173961
15249511166,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194707,1716194707
15248993771,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716191604,1716191604
15246391792,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175725,1716175725
15246158778,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174175,1716174175
15246466916,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716176223,1716176223
15246380596,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175648,1716175648
15246365280,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175549,1716175549
15246333544,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175337,1716175337
15249464591,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194428,1716194428
15246350258,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716175446,1716175446
15249183353,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716192729,1716192729
15249480019,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194519,1716194519
15249270126,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716193253,1716193253
15246045032,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716173406,1716173406
15246261823,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174858,1716174858
15246129888,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716173986,1716173986
15249016159,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716191743,1716191743
15246440199,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716176048,1716176048
